"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","createNewArticleResponseSchemaValidation","Regression API Test Suite","Thu Oct 31 06:45:40 UTC 2024","broken","Thu Oct 31 06:45:40 UTC 2024","com.conduit.request.ApiTest.articleAPITest","F:/RestAPIAutoEcomm/src/test/java/com/conduit/request/ApiTest","com.conduit.request.ApiTest.articleAPITest","createNewArticleResponseSchemaValidation"
"","0","createNewArticle","Regression API Test Suite","Thu Oct 31 06:45:40 UTC 2024","skipped","Thu Oct 31 06:45:40 UTC 2024","com.conduit.request.ApiTest.articleAPITestWithBeforeSuiteSetup","F:/RestAPIAutoEcomm/src/test/java/com/conduit/request/ApiTest","com.conduit.request.ApiTest.articleAPITestWithBeforeSuiteSetup","createNewArticle"
"","1469","testFileUploadAndRetrievalFromResources","FileIO Test Suite","Thu Oct 31 06:45:33 UTC 2024","passed","Thu Oct 31 06:45:35 UTC 2024","com.FileIO.FileUploadTest","FileIO Tests","com.FileIO.FileUploadTest","testFileUploadAndRetrievalFromResources"
"","1","loginUser","Regression API Test Suite","Thu Oct 31 06:45:40 UTC 2024","skipped","Thu Oct 31 06:45:40 UTC 2024","com.conduit.request.ApiTest.loginApiTest","F:/RestAPIAutoEcomm/src/test/java/com/conduit/request/ApiTest","com.conduit.request.ApiTest.loginApiTest","loginUser"
"","0","deleteValidArticleTest","Regression API Test Suite","Thu Oct 31 06:45:40 UTC 2024","skipped","Thu Oct 31 06:45:40 UTC 2024","com.conduit.request.ApiTest.DeleteArticelApiTest","F:/RestAPIAutoEcomm/src/test/java/com/conduit/request/ApiTest","com.conduit.request.ApiTest.DeleteArticelApiTest","deleteValidArticleTest"
"","0","getSingleArticleBySlugTestNegative","Regression API Test Suite","Thu Oct 31 06:45:40 UTC 2024","skipped","Thu Oct 31 06:45:40 UTC 2024","com.conduit.request.ApiTest.DeleteArticelApiTest","F:/RestAPIAutoEcomm/src/test/java/com/conduit/request/ApiTest","com.conduit.request.ApiTest.DeleteArticelApiTest","getSingleArticleBySlugTestNegative"
"","3252","getOAuthToken","OAuth Test Suite","Thu Oct 31 06:45:37 UTC 2024","broken","Thu Oct 31 06:45:40 UTC 2024","com.FileIO.GitHubOAuthTest","oAuthTest","com.FileIO.GitHubOAuthTest","getOAuthToken"
"","250","DownloadFileAPITest","FileIO Test Suite","Thu Oct 31 06:45:36 UTC 2024","passed","Thu Oct 31 06:45:36 UTC 2024","com.FileIO.FileDownloadAutomation","FileIO Tests","com.FileIO.FileDownloadAutomation","DownloadFileAPITest"
"","3266","testFileUploadAndRetrieval","FileIO Test Suite","Thu Oct 31 06:45:30 UTC 2024","passed","Thu Oct 31 06:45:33 UTC 2024","com.FileIO.FileUploadTest","FileIO Tests","com.FileIO.FileUploadTest","testFileUploadAndRetrieval"
"","0","createNewArticleRequestSchemaValidation","Regression API Test Suite","Thu Oct 31 06:45:40 UTC 2024","skipped","Thu Oct 31 06:45:40 UTC 2024","com.conduit.request.ApiTest.articleAPITest","F:/RestAPIAutoEcomm/src/test/java/com/conduit/request/ApiTest","com.conduit.request.ApiTest.articleAPITest","createNewArticleRequestSchemaValidation"
